Age,PrimaryStreamingService,HoursPerDay,WhileWorking,Instrumentalist,Composer,FavGenre,Exploratory,ForeignLanguages,BPM,Classical,Country,EDM,Folk,Gospel,Hiphop,Jazz,Kpop,Latin,Lofi,Metal,Pop,R&B,Rap,Rock,VideoGameMusic,Anxiety,Depression,Insomnia,OCD,MusicEffects,Date
17.0,Spotify,3.0,Yes,No,No,Classical,Yes,Yes,120.0,Very frequently,Never,Very frequently,Never,Never,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,Never,Sometimes,Very frequently,Very frequently,Rarely,Sometimes,6.0,6.0,8.0,2.0,Improve,2022-08-28
18.0,Spotify,4.0,Yes,No,No,Metal,Yes,Yes,77.0,Rarely,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Never,Very frequently,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,1.0,0.0,8.0,2.0,No effect,2022-08-28
17.0,I do not use a streaming service.,1.0,Yes,Yes,Yes,Folk,No,No,118.0,Never,Sometimes,Rarely,Very frequently,Never,Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,7.0,3.0,1.0,5.0,Improve,2022-08-28
36.0,Spotify,1.0,No,Yes,Yes,Classical,No,No,132.0,Very frequently,Sometimes,Never,Rarely,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Sometimes,Never,8.0,9.0,3.0,0.0,No effect,2022-08-28
24.0,Spotify,3.0,Yes,No,No,Rock,Yes,Yes,115.0,Rarely,Never,Rarely,Sometimes,Never,Never,Never,Rarely,Never,Very frequently,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,9.0,6.0,4.0,3.0,Improve,2022-08-28
18.0,Spotify,5.0,Yes,No,Yes,Metal,Yes,Yes,157.0,Never,Never,Rarely,Rarely,Never,Very frequently,Rarely,Never,Rarely,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Very frequently,Never,7.0,9.0,5.0,0.0,Improve,2022-08-28
19.0,Spotify,3.0,Yes,No,No,Pop,No,Yes,90.0,Sometimes,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,Rarely,Never,Sometimes,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Sometimes,7.0,4.0,2.0,4.0,No effect,2022-08-28
17.0,Apple Music,2.0,Yes,Yes,No,EDM,Yes,No,128.0,Never,Rarely,Very frequently,Never,Never,Rarely,Never,Never,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,0.0,0.0,0.0,0.0,Improve,2022-08-28
16.0,Spotify,6.0,Yes,No,No,K pop,Yes,Yes,169.0,Rarely,Never,Never,Rarely,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Never,Sometimes,Very frequently,Very frequently,Rarely,Never,7.0,8.0,7.0,5.0,Improve,2022-08-28
23.0,Apple Music,1.0,No,No,No,Rap,No,Yes,140.0,Sometimes,Rarely,Sometimes,Rarely,Never,Very frequently,Very frequently,Never,Never,Never,Sometimes,Rarely,Rarely,Very frequently,Very frequently,Rarely,10.0,6.0,3.0,10.0,No effect,2022-08-28
23.0,Spotify,12.0,Yes,No,No,Pop,Yes,Yes,96.0,Very frequently,Rarely,Never,Very frequently,Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Very frequently,Sometimes,Rarely,Rarely,Never,3.0,7.0,5.0,5.0,No effect,2022-08-28
22.0,Spotify,4.0,Yes,No,Yes,Rock,Yes,Yes,126.0,Rarely,Never,Rarely,Sometimes,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,Very frequently,Sometimes,Rarely,Very frequently,Rarely,8.0,7.0,4.0,3.0,Improve,2022-08-28
16.0,Apple Music,2.0,Yes,Yes,No,Classical,Yes,No,117.5,Very frequently,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,0.0,0.0,1.0,3.0,Improve,2022-08-28
18.0,Spotify,6.0,Yes,No,No,Rock,Yes,No,91.0,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Very frequently,Never,8.0,6.0,2.0,10.0,No effect,2022-08-28
23.0,Spotify,7.0,Yes,No,No,Folk,Yes,Yes,55.0,Rarely,Very frequently,Never,Very frequently,Very frequently,Sometimes,Rarely,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,6.0,4.0,2.0,3.0,Improve,2022-08-28
23.0,I do not use a streaming service.,1.0,Yes,Yes,No,Video game music,No,No,85.0,Sometimes,Sometimes,Sometimes,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,7.0,0.0,0.0,2.0,Improve,2022-08-28
19.0,YouTube Music,1.0,No,Yes,No,K pop,Yes,Yes,160.0,Never,Never,Never,Never,Never,Never,Sometimes,Very frequently,Never,Never,Never,Never,Never,Never,Never,Rarely,10.0,1.0,0.0,0.0,Improve,2022-08-28
22.0,Pandora,1.0,No,Yes,No,Rock,Yes,No,108.0,Rarely,Never,Sometimes,Rarely,Never,Never,Very frequently,Never,Never,Never,Never,Sometimes,Rarely,Never,Very frequently,Rarely,8.0,7.0,0.0,5.0,Improve,2022-08-28
15.0,Other streaming service,2.0,Yes,Yes,No,Rock,No,No,156.0,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Sometimes,Sometimes,Never,Never,Very frequently,Sometimes,3.0,2.0,6.0,7.0,Improve,2022-08-28
25.0,Spotify,2.0,No,No,No,Metal,No,Yes,170.0,Rarely,Rarely,Rarely,Sometimes,Never,Rarely,Never,Rarely,Never,Rarely,Very frequently,Sometimes,Never,Rarely,Very frequently,Very frequently,5.0,5.0,3.0,1.0,No effect,2022-08-28
32.0,Spotify,5.0,Yes,No,No,Rock,No,Yes,91.0,Sometimes,Never,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Never,Never,Very frequently,Very frequently,Very frequently,Rarely,Very frequently,Never,10.0,10.0,3.0,1.0,Worsen,2022-08-28
36.0,Spotify,6.0,Yes,No,No,Metal,Yes,Yes,174.0,Very frequently,Never,Rarely,Very frequently,Never,Never,Never,Sometimes,Never,Rarely,Very frequently,Rarely,Never,Never,Sometimes,Very frequently,5.0,4.0,10.0,2.0,Improve,2022-08-28
24.0,Spotify,3.0,No,No,No,Rock,Yes,Yes,130.0,Sometimes,Sometimes,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Very frequently,Very frequently,Never,Never,Very frequently,Never,0.0,0.0,8.0,0.0,No effect,2022-08-28
29.0,Spotify,4.0,No,No,No,Hip hop,Yes,No,140.0,Rarely,Sometimes,Rarely,Never,Rarely,Very frequently,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,8.0,8.0,5.0,10.0,Improve,2022-08-28
41.0,Apple Music,3.0,Yes,Yes,Yes,Metal,Yes,Yes,130.0,Sometimes,Never,Sometimes,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Never,10.0,7.0,8.0,0.0,Improve,2022-08-28
36.0,I do not use a streaming service.,2.0,Yes,Yes,Yes,Rock,Yes,No,127.0,Sometimes,Rarely,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Never,Never,Never,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Sometimes,7.0,3.0,1.0,1.0,Improve,2022-08-28
19.0,YouTube Music,3.0,Yes,No,No,Rock,Yes,No,160.0,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Rarely,8.0,7.0,4.0,0.0,Improve,2022-08-28
31.0,Spotify,2.0,Yes,No,No,Rock,Yes,Yes,120.0,Never,Sometimes,Never,Rarely,Sometimes,Never,Sometimes,Rarely,Never,Never,Sometimes,Very frequently,Never,Never,Very frequently,Never,10.0,2.0,0.0,5.0,No effect,2022-08-28
16.0,Spotify,4.0,Yes,No,No,Rock,No,Yes,120.0,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Rarely,Rarely,Very frequently,Very frequently,9.0,8.0,1.0,2.0,Improve,2022-08-28
26.0,Spotify,2.0,Yes,Yes,Yes,Hip hop,Yes,Yes,165.0,Rarely,Rarely,Very frequently,Rarely,Rarely,Very frequently,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Very frequently,Rarely,6.0,3.0,1.0,1.0,Improve,2022-08-28
22.0,Apple Music,0.5,No,No,No,Hip hop,No,No,113.0,Sometimes,Never,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Never,Never,Sometimes,Sometimes,Very frequently,Never,Never,7.0,7.0,0.0,1.0,No effect,2022-08-28
16.0,Spotify,5.0,Yes,Yes,Yes,Jazz,Yes,Yes,167.0,Sometimes,Rarely,Never,Never,Rarely,Rarely,Very frequently,Very frequently,Rarely,Never,Never,Very frequently,Rarely,Very frequently,Sometimes,Never,7.0,7.0,8.0,4.0,Improve,2022-08-28
17.0,Spotify,5.0,Yes,No,No,Metal,Yes,Yes,95.0,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Very frequently,Sometimes,4.0,1.0,0.0,0.0,Improve,2022-08-28
19.0,Spotify,10.0,Yes,No,No,R&B,Yes,Yes,110.0,Never,Rarely,Very frequently,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Rarely,Very frequently,Rarely,Never,Never,7.0,2.0,1.0,5.0,Improve,2022-08-28
18.0,YouTube Music,2.0,No,No,No,EDM,No,Yes,150.0,Sometimes,Rarely,Very frequently,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Never,Very frequently,Rarely,Sometimes,Rarely,Very frequently,9.0,0.0,5.0,10.0,Improve,2022-08-28
18.0,YouTube Music,4.0,Yes,No,No,Hip hop,Yes,Yes,93.0,Never,Never,Rarely,Never,Never,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,Never,Very frequently,Very frequently,Very frequently,Sometimes,Rarely,2.0,7.0,1.0,1.0,Improve,2022-08-28
19.0,Spotify,5.0,No,Yes,Yes,Rock,Yes,Yes,90.0,Rarely,Never,Never,Rarely,Never,Sometimes,Very frequently,Never,Very frequently,Rarely,Sometimes,Rarely,Sometimes,Rarely,Very frequently,Rarely,10.0,8.0,7.0,0.0,Improve,2022-08-28
19.0,Spotify,3.0,Yes,No,No,Jazz,Yes,No,118.0,Rarely,Never,Rarely,Never,Never,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Never,Sometimes,Sometimes,Sometimes,Rarely,Very frequently,3.0,0.0,0.0,0.0,Improve,2022-08-28
22.0,Spotify,2.0,Yes,No,No,K pop,Yes,Yes,126.0,Never,Never,Very frequently,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Sometimes,Never,Sometimes,Very frequently,Rarely,7.0,8.0,5.0,1.0,No effect,2022-08-28
16.0,Spotify,2.5,Yes,Yes,Yes,Rock,Yes,Yes,103.0,Rarely,Sometimes,Never,Very frequently,Never,Rarely,Sometimes,Never,Sometimes,Sometimes,Rarely,Very frequently,Rarely,Never,Very frequently,Rarely,2.0,1.0,0.0,0.0,Improve,2022-08-28
19.0,Spotify,3.0,Yes,No,No,R&B,Yes,Yes,77.0,Rarely,Never,Sometimes,Never,Never,Very frequently,Rarely,Very frequently,Rarely,Rarely,Rarely,Very frequently,Very frequently,Very frequently,Rarely,Very frequently,5.0,4.0,0.0,1.0,Improve,2022-08-28
37.0,Spotify,1.0,Yes,No,No,Rock,No,No,115.0,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,9.0,10.0,6.0,10.0,No effect,2022-08-28
14.0,Spotify,7.0,Yes,Yes,No,Jazz,No,No,110.0,Rarely,Never,Very frequently,Never,Never,Never,Very frequently,Never,Sometimes,Never,Never,Sometimes,Never,Never,Very frequently,Very frequently,2.0,0.0,0.0,0.0,Improve,2022-08-28
33.0,I do not use a streaming service.,1.0,No,No,No,Metal,No,Yes,140.0,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Rarely,Never,Very frequently,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,5.0,2.0,5.0,1.0,Improve,2022-08-28
26.0,Spotify,1.0,No,No,No,R&B,No,No,113.0,Rarely,Sometimes,Never,Sometimes,Never,Very frequently,Very frequently,Never,Never,Never,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Never,3.0,2.0,0.0,0.0,No effect,2022-08-28
32.0,Spotify,3.0,Yes,No,No,Hip hop,No,No,157.0,Never,Never,Rarely,Never,Never,Very frequently,Never,Never,Sometimes,Rarely,Never,Sometimes,Very frequently,Very frequently,Rarely,Never,2.0,0.0,7.0,0.0,No effect,2022-08-28
30.0,Spotify,5.0,Yes,Yes,No,Metal,Yes,No,160.0,Sometimes,Rarely,Never,Sometimes,Never,Rarely,Never,Never,Never,Never,Very frequently,Sometimes,Never,Never,Very frequently,Never,7.0,6.0,6.0,2.0,No effect,2022-08-28
43.0,I do not use a streaming service.,6.0,Yes,Yes,Yes,Video game music,Yes,Yes,109.0,Sometimes,Rarely,Very frequently,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Sometimes,Very frequently,5.0,4.0,8.0,3.0,No effect,2022-08-28
24.0,Spotify,4.0,Yes,No,No,Classical,Yes,Yes,175.0,Very frequently,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Very frequently,Rarely,4.0,6.0,5.0,3.0,Improve,2022-08-28
36.0,YouTube Music,1.0,Yes,No,No,Rock,Yes,No,110.0,Sometimes,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,6.0,2.0,3.0,1.0,Improve,2022-08-28
19.0,YouTube Music,4.0,Yes,No,No,Video game music,Yes,No,162.0,Rarely,Never,Rarely,Never,Never,Rarely,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Never,Rarely,Very frequently,8.0,2.0,1.0,6.0,Improve,2022-08-28
22.0,Spotify,10.0,Yes,No,No,Metal,Yes,Yes,189.0,Rarely,Very frequently,Never,Very frequently,Never,Never,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Sometimes,Sometimes,9.0,6.0,0.0,6.0,Improve,2022-08-28
20.0,Spotify,3.0,No,No,Yes,EDM,Yes,Yes,121.0,Rarely,Sometimes,Very frequently,Never,Never,Sometimes,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,0.0,3.0,7.0,0.0,Improve,2022-08-28
31.0,Spotify,2.0,No,No,No,Rock,Yes,No,200.0,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Never,Rarely,Very frequently,Never,8.0,9.0,6.0,2.0,Improve,2022-08-28
19.0,Spotify,4.0,Yes,No,No,Metal,Yes,Yes,105.0,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Rarely,4.0,1.0,1.0,1.0,Improve,2022-08-28
15.0,Spotify,8.0,Yes,No,No,Rock,No,No,193.0,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Very frequently,Rarely,8.0,7.0,5.0,0.0,Improve,2022-08-28
18.0,Spotify,2.0,No,Yes,Yes,Metal,Yes,Yes,149.0,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Very frequently,Sometimes,Never,Rarely,Very frequently,Rarely,3.0,4.0,6.0,1.0,Improve,2022-08-28
25.0,I do not use a streaming service.,0.5,No,Yes,No,Classical,No,No,140.0,Very frequently,Never,Never,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Rarely,Rarely,Rarely,Never,Very frequently,Sometimes,1.0,1.0,3.0,1.0,Improve,2022-08-28
